id	name	latitude	longitude	country	prov_state
5964700	Greater Sudbury	46.49	-80.99001	CA	ON
5965546	Gravenhurst	44.91681	-79.36633	CA	ON
5965812	Greater Napanee	44.25012	-76.94944	CA	ON
5966689	Greenwood	44.98345	-64.89879	CA	NS
5967629	Guelph	43.54594	-80.25599	CA	ON
5969782	Hamilton	43.25011	-79.84963	CA	ON
5970014	Hampstead	45.48064	-73.66307	CA	QC
5970063	Hanceville	51.91922	-123.04458	CA	BC
5970301	Hanover	44.15009	-81.03303	CA	ON
5970458	Happy Valley-Goose Bay	53.31685	-60.33153	CA	NL
5972360	Hawkesbury	45.60009	-74.61595	CA	ON
5975038	High River	50.58341	-113.86867	CA	AB
5975503	Hinton	53.40009	-117.58567	CA	AB
5978126	Hudson	45.45008	-74.14922	CA	QC
5978765	Huntsville	45.33341	-79.21632	CA	ON
5978831	Huron East	43.61679	-81.29975	CA	ON
5983175	Ingersoll	43.03339	-80.88302	CA	ON
5983433	Innisfil	44.30011	-79.64964	CA	ON
5940956	Dollard-Des Ormeaux	45.49452	-73.82419	CA	QC
5941761	Dorchester	42.98339	-81.06643	CA	ON
5983720	Iqaluit	63.75059	-68.51449	CA	NU
5987650	Joliette	46.01677	-73.44915	CA	QC
5989045	Kamloops	50.66648	-120.3192	CA	BC
5989403	Kapuskasing	49.41694	-82.43308	CA	ON
5990579	Kelowna	49.88307	-119.48568	CA	BC
5991148	Kentville	45.08345	-64.49876	CA	NS
5991370	Keswick	44.25011	-79.46632	CA	ON
5992059	Kimberley	49.67071	-115.9776	CA	BC
5992500	Kingston	44.22976	-76.48098	CA	ON
5992830	Kirkland	45.45008	-73.86586	CA	QC
5992836	Kirkland Lake	48.14461	-80.03767	CA	ON
5992996	Kitchener	43.42537	-80.5112	CA	ON
5994839	Labrador City	52.94626	-66.91137	CA	NL
5993072	Kitimat	54.05244	-128.65342	CA	BC
6002133	Lac-Brome	45.21678	-72.51581	CA	QC
6024829	Lachute	45.65008	-74.33253	CA	QC
6035615	Lacombe	52.46681	-113.7353	CA	AB
6047817	Ladysmith	48.98292	-123.81938	CA	BC
6049024	Lambton Shores	43.16678	-81.93309	CA	ON
6049388	Langford	48.44963	-123.50261	CA	BC
6049429	Langley	49.10107	-122.65883	CA	BC
6049430	Langley	49.08297	-122.58589	CA	BC
6050194	La Sarre	48.80019	-79.19964	CA	QC
6049863	La Prairie	45.41678	-73.49917	CA	QC
6050263	L'Assomption	45.82318	-73.4294	CA	QC
6050416	La Tuque	47.43337	-72.7824	CA	QC
6050610	Laval	45.56995	-73.692	CA	QC
6051562	Leduc	53.26682	-113.55201	CA	AB
6052788	Les Coteaux	45.28338	-74.23254	CA	QC
6053154	Lethbridge	49.69999	-112.81856	CA	AB
6050650	Lavaltrie	45.88338	-73.28245	CA	QC
6053877	L'Île-Perrot	45.38338	-73.9492	CA	QC
6058024	Lloydminster	53.28346	-110.00157	CA	SK
6058560	London	42.98339	-81.23304	CA	ON
6059891	Longueuil	45.53121	-73.51806	CA	QC
6060407	Lorraine	45.68338	-73.78249	CA	QC
6060839	Louiseville	46.25594	-72.94145	CA	QC
6064180	Magog	45.26678	-72.14909	CA	QC
6065686	Maple Ridge	49.21939	-122.60193	CA	BC
6066350	Marieville	45.43338	-73.16585	CA	QC
6066513	Markham	43.86682	-79.2663	CA	ON
6067494	Mascouche	45.74965	-73.59956	CA	QC
6071618	Medicine Hat	50.05006	-110.66834	CA	AB
6071876	Melfort	52.86673	-104.61768	CA	SK
6072206	Mercier	45.31678	-73.74919	CA	QC
6072350	Merritt	50.11225	-120.7942	CA	BC
6075081	Miramichi	47.02895	-65.50186	CA	NB
6075357	Mississauga	43.5789	-79.6583	CA	ON
6076211	Moncton	46.11594	-64.80186	CA	NB
6077128	Mont-Laurier	46.55011	-75.4993	CA	QC
6077243	Montréal	45.50884	-73.58781	CA	QC
6077265	Montréal-Ouest	45.45286	-73.64918	CA	QC
6077315	Mont-Royal	45.51675	-73.64918	CA	QC
6077340	Mont-Saint-Hilaire	45.56678	-73.19915	CA	QC
6078112	Moose Jaw	50.40005	-105.53445	CA	SK
6077445	Mont-Tremblant	46.21274	-74.58438	CA	QC
6078447	Morden	49.1919	-98.10136	CA	MB
6078636	Morinville	53.80014	-113.65203	CA	AB
6082231	Mount Pearl	47.51659	-52.78135	CA	NL
6085772	Nanaimo	49.16638	-123.94003	CA	BC
6086871	Nelson	49.49985	-117.28553	CA	BC
6087579	New Glasgow	45.58344	-62.64863	CA	NS
6087701	Newmarket	44.05011	-79.46631	CA	ON
6087844	New Westminster	49.20678	-122.91092	CA	BC
6087892	Niagara Falls	43.10012	-79.06627	CA	ON
6088132	Nicolet	46.21676	-72.61582	CA	QC
6089125	Norfolk County	42.8334	-80.38297	CA	ON
6089404	North Battleford	52.77972	-108.2967	CA	SK
6089426	North Bay	46.3168	-79.46633	CA	ON
6089661	North Cowichan	48.84133	-123.68596	CA	BC
6073363	Midland	44.7501	-79.88296	CA	ON
6090405	North Perth	43.7251	-80.96723	CA	ON
6074377	Milton	43.51681	-79.88294	CA	ON
6090579	North Saanich	48.66634	-123.41933	CA	BC
6075061	Mirabel	45.65008	-74.08251	CA	QC
6090785	North Vancouver	49.31636	-123.06934	CA	BC
6091104	North York	43.76681	-79.4163	CA	ON
6091369	Notre-Dame-de-l'Île-Perrot	45.36678	-73.9325	CA	QC
6091422	Notre-Dame-des-Prairies	46.05007	-73.43245	CA	QC
6091919	Oak Bay	48.44964	-123.3026	CA	BC
6092122	Oakville	43.45011	-79.68292	CA	ON
6093010	Okotoks	50.72885	-113.98281	CA	AB
6093347	Olds	51.78341	-114.10199	CA	AB
6094201	Orangeville	43.9168	-80.09967	CA	ON
6094325	Orillia	44.60868	-79.42068	CA	ON
6094407	Oromocto	45.83512	-66.47917	CA	NB
6094578	Oshawa	43.90012	-78.84957	CA	ON
6094817	Ottawa	45.41117	-75.69812	CA	ON
6094884	Otterburn Park	45.53338	-73.21585	CA	QC
6095645	Owen Sound	44.56717	-80.94349	CA	ON
6098642	Parksville	49.31633	-124.31945	CA	BC
6098747	Parry Sound	45.34732	-80.03527	CA	ON
6100069	Peace River	56.2501	-117.28599	CA	AB
6100832	Pembroke	45.81681	-77.11616	CA	ON
6101141	Penticton	49.48062	-119.58584	CA	BC
6101546	Perth	44.90011	-76.24939	CA	ON
6101606	Petawawa	45.89452	-77.28007	CA	ON
6101645	Peterborough	44.30012	-78.31623	CA	ON
6103581	Petrolia	42.86678	-82.14981	CA	ON
6104111	Pickering	43.90012	-79.13289	CA	ON
6104876	Pincourt	45.38338	-73.9825	CA	QC
6105815	Pitt Meadows	49.22119	-122.68965	CA	BC
6107325	Pointe-Claire	45.44868	-73.81669	CA	QC
6109273	Ponoka	52.6768	-113.58147	CA	AB
6110611	Pont Rouge	48.88332	-72.08247	CA	QC
6111529	Portage la Prairie	49.97282	-98.29263	CA	MB
6111632	Port Alberni	49.24133	-124.8028	CA	BC
6111696	Port-Cartier	50.03339	-66.86545	CA	QC
6111704	Port Colborne	42.90012	-79.23288	CA	ON
6111962	Port Moody	49.28297	-122.85263	CA	BC
6112608	Powell River	49.87022	-124.54926	CA	BC
6113198	Prévost	45.86678	-74.08251	CA	QC
6113335	Prince Albert	53.20008	-105.76772	CA	SK
6113355	Prince Edward	44.00012	-77.24946	CA	ON
6113365	Prince George	53.9166	-122.75301	CA	BC
6113406	Prince Rupert	54.31507	-130.32098	CA	BC
6113466	Princeville	45.76684	-61.29853	CA	NS
6115187	Quesnel	52.97842	-122.4931	CA	BC
6115355	Quinte West	44.18342	-77.56618	CA	ON
6117611	Rawdon	46.05007	-73.71587	CA	QC
6117731	Rayside-Balfour	46.60873	-81.20763	CA	ON
6118158	Red Deer	52.26682	-113.802	CA	AB
6119109	Regina	50.45008	-104.6178	CA	SK
6119448	Renfrew	45.46681	-76.68272	CA	ON
6119518	Repentigny	45.74222	-73.45008	CA	QC
6121621	Revelstoke	50.98317	-118.2023	CA	BC
6122037	Richelieu	45.44336	-73.24602	CA	QC
6122085	Richmond	49.17003	-123.13683	CA	BC
6122091	Richmond Hill	43.87111	-79.43725	CA	ON
6125653	Roberval	48.5168	-72.23244	CA	QC
6126749	Rocky Mountain House	52.36683	-114.9188	CA	AB
6127681	Rosemère	45.63338	-73.79919	CA	QC
6128577	Rouyn-Noranda	48.23656	-79.02311	CA	QC
6137063	Sackville	45.91875	-64.38455	CA	NB
6137489	Saint-Basile-le-Grand	45.53338	-73.28246	CA	QC
6137540	Saint-Bruno-de-Montarville	45.53341	-73.34916	CA	QC
6137633	Saint-Constant	45.36678	-73.56588	CA	QC
6137696	Sainte-Adèle	45.95008	-74.13251	CA	QC
6137702	Sainte-Agathe-des-Monts	46.05009	-74.28252	CA	QC
6137733	Sainte-Anne-de-Bellevue	45.40618	-73.9456	CA	QC
6137749	Sainte-Anne-des-Monts	49.12402	-66.49243	CA	QC
6137753	Sainte-Anne-des-Plaines	45.76468	-73.81156	CA	QC
6137270	Saguenay	48.41675	-71.06573	CA	QC
6137781	Sainte-Catherine	46.31836	-72.56632	CA	QC
6137941	Sainte-Julie	45.58338	-73.33246	CA	QC
6138032	Sainte-Marthe-sur-le-Lac	45.53338	-73.9325	CA	QC
6138121	Sainte-Thérèse	45.63922	-73.82757	CA	QC
6138175	Saint-Eustache	45.565	-73.90554	CA	QC
6138201	Saint-Félicien	48.65007	-72.44906	CA	QC
6138374	Saint-Hyacinthe	45.63076	-72.95699	CA	QC
6138495	Saint-Jean-sur-Richelieu	45.30713	-73.26259	CA	QC
6138501	Saint-Jérôme	45.78036	-74.00365	CA	QC
6138517	Saint John	45.27271	-66.06766	CA	NB
6138599	Saint-Lambert	48.95272	-79.4593	CA	QC
6138610	Saint-Laurent	45.50008	-73.66585	CA	QC
6138617	Saint-Lazare	45.40008	-74.13256	CA	QC
6138625	Saint-Léonard	45.58773	-73.59501	CA	QC
6138643	Saint-Lin-Laurentides	45.85008	-73.76588	CA	QC
6138980	Saint-Raymond	45.46698	-73.60948	CA	QC
6139045	Saint-Sauveur	45.88686	-74.17943	CA	QC
6139289	Salaberry-de-Valleyfield	45.25008	-74.13253	CA	QC
6139416	Salmon Arm	50.6998	-119.30237	CA	BC
6141190	Sarnia	42.97866	-82.40407	CA	ON
6141256	Saskatoon	52.11679	-106.63452	CA	SK
